kind;outputdata;year;unused1;unused2;code;halfyear
14;"Новое в оперативно-розыскном законодательстве – возвращение к истокам  / В.С. Гайдельцов // Труды Института национальной безопасности Республики Беларусь : сб. науч. тр. – Минск, 2010. – № 29. – С. 87-92";2010;;;50;
14;"Допустимость тактических приемов в расследовании преступлений / М.В. Галезник // Проблемы управления : науч.-практ. журн. / Акад. упр. при Президенте Респ. Беларусь. – Минск, 2010. – № 1(34). – С. 169-172";2010;;;103;
14;"Криминалистическая характеристика способов совершения криминальных взрывов / М.В. Галезник // Труды Института национальной безопасности Республики Беларусь: сб. науч. тр. – Минск, 2010. – № 29. – С. 45-51";2010;;;105;
14;"Особенности тактики допроса по делам о разбоях / А.В. Дроздов // Вести Института современных знаний: науч.-теорет. журн. – Минск, 2009. – № 1. – С. 13-17";2009;;;118;
14;"О процессуальной сущности установления состояния опьянения в административном процессе / В.М. Логвин, Ю.А. Матвейчев // Законность и правопорядок: науч.-практ. журн. / Ген. Прокуратура Респ. Беларусь. – Минск, 2010. – № 1. – С. 35-39";2010;;;135;
14;"Риск в страховании / В.П. Шиенок, М.А. Раевская // Вестник Академии МВД Республики Беларусь : науч.-практ. журн. – Минск, 2007. – № 1(13). – С. 79-82";2007;;;168;
14;"Особенности первоначального этапа расследования разбоев / Г.В. Федоров, А.В. Дроздов // Вести Института современных знаний: науч.-теорет. журн. – Минск, 2007. – № 2. – С. 17-21";2007;;;171;
14;"Правовое регулирование использования криминалистических средств в противодействии преступности / Г.В. Федоров // Вести Института современных знаний: науч.-теорет. журн. – Минск, 2007. – № 3(32). – С. 3-7";2007;;;179;
14;"Взаимодействие следователя с международными и белорусскими неправительственными организациями при расследовании секс-траффикинга / М.П. Шруб // Сацыяльна-эканамічныя і прававыя даследаванні : навук.-практ. і інфарм.-метадыч. часоп. / Прыватная ўстанова адукацыі ""БІП – Інстытут правазнаўства"". – Минск, 2010. – № 1. – С. 108-116";2010;;;189;
14;"Проблемы сотрудничества жертв торговли людьми с правоохранительными органами / М.П. Шруб // Вести Института современных знаний: науч.-теорет. журн. – Минск, 2010. – № 2. – С. 3-7";2010;;;191;
14;"Организация и тактика проведения оперативного внедрения в преступные группы взяточников / В.Н. Крюков, С.П. Годунов // Вестник Академии МВД Республики Беларусь : науч.-практ. журн. – Минск, 2011. – № 1с(5). – С. 33-37";2011;;;213;1
14;"Проблемы правовой регламентации информационно-криминалистического обеспечения ОВД / А.П. Пацкевич // Проблемы правовой информатизации: науч.-практ. журн. / Нац. центр правовой информ. Респ. Беларусь. – Минск, 2007. – № 1(13). – С. 52-56";2007;;;291;
14;"Генезис и развитие автоматизированной дактилоскопической идентификационной системы (АДИС) / А.П. Пацкевич, С.Н. Стороженко // Вопросы криминологии, криминалистики и судебной экспертизы : сб. науч. тр. / Науч.-исслед. ин-т криминалистики и судебной экспертизы М-ва юстиции Респ. Беларусь. – Минск, 2007. – № 1(21). – С. 92-97";2007;;;292;
14;"Проблемы в расследовании преступлений, связанных с криминальными посягательствами на автотранспортные средства / А.В. Чирский, А.П. Пацкевич // Вопросы криминологии, криминалистики и судебной экспертизы : сб. науч. тр. / Центр судебных экспертиз и криминалистики М-ва юстиции Респ. Беларусь; редкол.: А.В. Дулов (гл. ред.) [и др.]. – Минск : Право и экономика, 2010. – № 1(27). – С. 89-95";2010;;;293;
14;"К вопросу о понятии розыскной деятельности следователя / А.П. Пацкевич, Т.М. Бешенкова // Вопросы криминологии, криминалистики и судебной экспертизы : сб. науч. тр. / Науч.-исслед. ин-т криминалистики и судебной экспертизы М-ва юстиции Респ. Беларусь. – Минск, 2008. – № 1(23). – С. 47-49";2008;;;296;
14;"Организация автоматизированной дактилоскопической идентификационной системы в органах внутренних дел на современном этапе развития / А.П. Пацкевич, С.Н. Стороженко // Вестник Полоцкого государственного университета = Веснік Полацкага дзяржаўнага універсітэта : науч.-теорет. ежемес. журн. – Серия D: Экономические и юридические науки = Серыя D: Эканамічныя і юрыдычныя навукі. – Полоцк, 2008. – № 4. – С. 170-173";2008;;;298;
14;"Проблемы использования информационных технологий в исследовании следов пальцев рук / А.П. Пацкевич, А.В. Водолазов // Вопросы криминологии, криминалистики и судебной экспертизы : сб. науч. тр. / Науч.-исслед. ин-т криминалистики и судебной экспертизы М-ва юстиции Респ. Беларусь. – Минск, 2007. – № 1(21). – С. 76-81";2007;;;303;
14;"Тактические особенности раскрытия, расследования и профилактики краж из автотранспортных средств / А.П. Пацкевич // Вопросы криминологии, криминалистики и судебной экспертизы : сб. науч. тр. / Центр судебных экспертиз и криминалистики М-ва юстиции Респ. Беларусь. – Минск, 2009. – № 1(25). – С. 106-112";2009;;;304;
14;"Международно-правовое сотрудничество государств по противодействию терроризму во второй трети XX - начале XXI века / А.Ф. Вишневский, А.А. Вишневский // Сацыяльна-эканамічныя і прававыя даследаванні : навук.-практ. і інфарм.-метадыч. часоп. / Прыватная ўстанова адукацыі ""БІП – Інстытут правазнаўства"". – Минск, 2010. – № 1(19). – С. 4-25";2010;;;305;
14;"Проблемы научно-методического обеспечения деятельности следственных подразделений органов внутренних дел Республики Беларусь / А.П. Пацкевич, С.Н. Стороженко // Вопросы криминологии, криминалистики и судебной экспертизы : сб. науч. тр. / Центр судебной экспертизы и криминалистики М-ва юстиции Респ. Беларусь. – Минск, 2009. – № 1(25). – С. 159-168";2009;;;311;
14;"Проблемы использования научно-технических средств и методов в розыскной деятельности следователя / А.П. Пацкевич, С.Н. Стороженко // Вопросы криминологии, криминалистики и судебной экспертизы : сб. науч. тр. / Науч.-исслед. ин-т криминалистики и судебной экспертизы М-ва юстиции Респ. Беларусь. – Минск, 2008. – № 2(24). – С. 126-131";2008;;;313;
14;"Криминолого-пенитенциарная характеристика лиц с аутодеструктивным поведением / В.Б. Шабанов, М.Ю. Кашинский // Законность и правопорядок: науч.-практ. журн. / Ген. Прокуратура Респ. Беларусь. – Минск, 2008. – № 4. – С. 62-68";2008;;;338;
14;"Проблемы предупреждения самоубийств - организационные и правовые аспекты / В.Б. Шабанов, М.Ю. Кашинский // Законность и правопорядок: науч.-практ. журн. / Ген. Прокуратура Респ. Беларусь. – Минск, 2010. – № 1(13). – С. 31-35";2010;;;348;
14;"Современные подходы к психолого-профессиональной подготовке депутатов парламента  / И.А. Кибак // Психологический журнал : ежекв. науч.-практ. изд. / Минский ин-т упр. – Минск, 2009. – № 4(24). – С. 137-142";2009;;;408;
