kind;outputdata;year;unused1;unused2;code;halfyear
3;"Теоретико-правовые и прикладные аспекты расследования легализации (отмывания) материальных ценностей, приобретенных преступным путем : моногр. / О.В. Маркова ; М-во внутрен. дел, Акад. МВД Респ. Беларусь. – Минск : Акад. МВД Респ. Беларусь, 2008. – 233 с.";2008;;;17;
3;"Предупреждение рецидивной преступности: моногр. / В.А. Ананич, С.Ю. Часнок; М-во внутрен. дел Респ. Беларусь, Акад. МВД. – Минск: Акад. МВД Респ. Беларусь, 2008. – 99 с.";2008;;;20;
3;"Правовая природа оперативно-розыскной деятельности органов государственной безопасности: моногр. / В.С. Гайдельцов. – Минск: ИНБ Респ. Беларусь, 2007. – 160 с.";2007;;;38;
3;"Версии при расследовании преступлений : моногр. /  М.В. Галезник, В.Ф. Ермолович. – Минск :  ИНБ Республики Беларусь, 2009. – 215 с.";2009;;;93;
3;"Полвека с криминалистикой против криминала: Записки старого криминалиста / Н.И. Порубов.–  Минск: Тесей, 2007. –  400 с.";2007;;;95;
3;"Профессиограмма следственной деятельности: моногр. / Н. И. Порубов. –  М.: Юрлитинформ, 2010. – 184 с.";2010;;;96;
3;"Криминалистические средства противодействия преступности : моногр. / Г. В. Федоров. – Минск : Центр охраны труда и пром. безопасности, 2007. – 277 с.";2007;;;97;
3;"Криминалистические средства противодействия преступности: теоретические аспекты: моногр. / Г.В. Федоров; М-во внутрен. дел Респ. Беларусь, Акад. МВД. – Минск : Акад. МВД Респ. Беларусь, 2008. – 187 c.";2008;;;98;
3;"Криминалистическая характеристика преступлений в сфере торговли людьми с целью сексуальной эксплуатации: моногр. / М. П. Шруб; под ред. И. И. Басецкого; Междунар. организация по миграции, Акад. М-ва внутрен. дел Респ. Беларусь. – Минск: Друк-С, 2007. – 129 с.";2007;;;99;
3;"Методика расследования торговли людьми с целью сексуальной эксплуатации: моногр. / М.П. Шруб ; под ред. В.М. Логвина. – Минск: Тесей, 2009. – 176 с.";2009;;;100;
3;"Аутодеструктивное поведение в учреждениях уголовно-исполнительной системы : организационные и правовые проблемы : моногр. / В.Б. Шабанов, М.Ю Кашинский ; М-во внутрен. дел Респ. Беларусь, Акад. МВД. – Минск : Акад. МВД Респ. Беларусь, 2009. – 147 с.";2009;;;333;
3;"Риторическое знание и оратория в Беларуси (X - XIX века) : моногр. / В.Л. Голубев; М-во внутрен. дел Респ. Беларусь, Акад. МВД. – Минск : Акад. МВД Респ. Беларусь, 2009. – 123 с.";2009;;;406;
3;"Психология законотворчества: моногр. / И.А. Кибак; М-во внутрен. дел Респ. Беларусь, Акад. МВД Респ. Беларусь. – Минск : Акад. МВД Респ. Беларусь, 2009. – 546 с.";2009;;;407;
3;"Технология формирования волевых качеств в процессе профессионально-прикладной физической подготовки : моногр. / С. А. Гайдук, Л. В. Марищук. – Минск : Минск. гос. высш. радиотехнический колледж, 2007. – 200 с.";2007;;;488;
3;"Обучение двигательным действиям в профессионально-прикладной физической подготовке сотрудников органов внутренних дел : моногр. / В.В. Леонов ; М-во внутрен. дел Респ. Беларусь, Акад. МВД. – Минск : Акад. МВД Респ. Беларусь, 2009. – 127 с.";2009;;;489;
3;"Июньский рассвет, нюрнбергский закат : трагедии и судьбы Второй мировой / А. Шарков, Ю. Бествицкий. – Минск : Тесей, 2008. – 199 c.";2008;;;571;
3;"Сталинские приговоры иностранным военнопленным в СССР 1945-1950 гг. / А.В. Шарков // Австрийские и судетские немцы перед советстким военным трибуналом в Беларуси. – Грац (Австрия), 2007. – 148 с.";2007;;;572;
3;"На земле Беларуси. Канун и начало войны : боевые действия советских войск в начальном периоде Великой Отечественной войны: моногр. / А.В. Шарков [и др.]; М-во обороны Респ. Беларусь, Военно-научное управление Вооруженных Сил Респ. Беларусь, М-во обороны Рос. Федерации, Ин-т военной истории М-ва обороны Рос. Федерации. – Минск : БЕЛТА, 2006. – 574 с.";2006;;;576;
