kind;outputdata;year;unused1;unused2;code;halfyear
11;"Правовое и организационное обеспечение предупреждения аутодеструктивного поведения в учреждениях уголовно-исполнительной системы : автореф. дис. ... канд. юрид. наук : 12.00.08 / М.Ю. Кашинский ; Акад. МВД Респ. Беларусь. – Минск, 2007. – 23 с.";2007;;;330;
11;"Эволюция мифологической идеи вечного возвращения в европейской культуре : автореф. дис. … докт. филос. наук : 24.00.01 / П.Г. Мартысюк ; С.-Петерб. гос. ун-т. – СПб, 2008. – 46, [1] с.";2008;;;2346;
11;"Служебная дисциплина в органах внутренних дел и организационно-правовые средства ее обеспечения : автореф. дис. ... канд. юрид. наук : 12.00.02 / А.А. Подупейко ; Акад. МВД Респ. Беларусь. – Минск, 2000.";2000;;;2450;
11;"Особенности расследования насильственных преступлений в ИТУ : автореф. дис. ... канд. юрид. наук : 12.00.09 / В.Б. Шабанов ; Гродн. гос. ун-т. – Гродно, 1995. – 20 с.";1995;;;2510;
11;"Оперативно-техническое обеспечение предупреждения и раскрытия хищений грузов на железнодорожном транспорте: (По материалам Республики Беларусь) : автореф. дис. ... канд. юрид. наук : 12.00.09 / В.В. Бачила ; Моск. высш. шк. милиции МВД РФ. – М., 1994. – 23 с.";1994;;;2711;
11;"Уголовно-правовая борьба с незаконной миграцией : автореф. дис. ... канд. юрид. наук : 12.00.08 / О.И. Бахур ; Акад. МВД Респ. Беларусь. – Минск, 2006. – 21 с.";2006;;;2730;
11;"Уголовная ответственность за торговлю людьми: совершенствование законодательства и практики его применения : автореф. дис. ... канд. юрид. наук : 12.00.08 / Н.И. Ретнёва ; Акад. МВД Респ. Беларусь. – Минск, 2006. – 20 с.";2006;;;2731;
11;"Уголовно-правовые средства борьбы с недобросовестной конкуренцией: автореф. дис. ... канд. юрид. наук: 12.00.08 / Е.А. Авраменко; Акад. МВД Респ. Беларусь. – Минск, 2000. – 16 с. (Защищена 15.09.2000; утверждена 27.12.2000)";2000;;;2732;
11;"Реализация принципа законнности при формировании и применении института наказания : автореф. дис. ... канд. юрид. наук : 12.00.08 / С.В. Ананич ; Акад. МВД Респ. Беларусь. – Минск, 2002. (Защищена 28.03.02; утверждена 13.05.03)";2002;;;2734;
11;"Деятельность милиции Белорусской ССР по обеспечению общественного порядка и борьбе с преступностью (1971-1985гг.) : автореф. дис. ... д-ра истор. наук : 07.00.02 / В.А. Ананич ; Ин-т истории Акад. наук Белорусской ССР. – Минск, 1991. – 48 с.";1991;;;2735;
11;"Теоретико-правовые и прикладные проблемы противодействия преступности в уголовно-исполнительной системе : автореф. дис. ... д-ра юрид. наук : 12.00.09 / В.Б. Шабанов ; Акад. М-ва внутр. дел Респ. Беларусь. – Минск, 2002. – 42 с.";2002;;;2736;
11;"Условия эффективности общей профилактики преступлений, осуществляемой органами внутренних дел в крупном городе : автореф. дис. ... канд. юрид. наук : 12.00.08 / В.А. Ананич ; Моск. высш. шк. милиции МВД СССР. – М., 1983. – 23 с.";1983;;;2737;
11;"Становление и развитие заочного высшего педагогического образования в Беларуси (30-40-е годы ХХ века) : автореф. дис. ... канд. пед. наук : 13.00.01 / И.А. Андарало ; Белорус. гос. пед. ун-т им. М.Танка. – Минск, 2003. – 21 с.";2003;;;2738;
11;"Теория и практика предупреждения преступлений с использованием научно-технических средств и методов : автореф. дис. ... канд. юрид. наук : 12.00.09 / И.А. Анищенко ; Акад. МВД Респ. Беларусь. – Минск, 2004";2004;;;2739;
11;"Государственная стратегия борьбы с преступностью: криминологические аспекты формирования и реализации : автореф. дис. ... канд. юрид. наук : 12.00.08 / Ю.Л. Сиваков ; Акад. МВД Респ. Беларусь. – Минск, 2006. – 21 с.";2006;;;2740;
11;"Благосостояние как критерий эффективности коммунистического способа производства : автореф. дис. ... канд. эконом. наук : 08.00.01 / И.Н. Бобкова ; Вильнюс. гос. ун-т им. В. Капсукаса. – Вильнюс, 1978. – 21 с.";1978;;;2741;
11;"Комплексные экспертные исследования в уголовном процессе : теоретические и прикладные аспекты : автореф. дис. ... канд. юрид. наук : 12.00.09 / Е.Ю. Горошко ; Акад. МВД Респ. Беларусь. – Минск, 2010. – 23 с.";2010;;;2742;
11;"Криминалистическое исследование изготовленных по современным технологиям удостоверительных печатных форм и их оттисков : автореф. дис. ... канд. юрид. наук : 12.00.09 / Н.В. Ефременко ; Акад. МВД Респ. Беларусь. – Минск, 2009. – 24 с.";2009;;;2743;
11;"Освобождение от уголовной ответственности в связи с примирением с потерпевшим в уголовном праве Республики Беларусь : автореф. дис. ... канд. юрид. наук : 12.00.08 / Р.А. Середа ; Акад. МВД Респ. Беларусь. – Минск, 2010. – 23 с.";2010;;;2744;
11;"Теория и практика борьбы с транснациональной преступностью в Республике Беларусь : оперативно-розыскной аспект : автореф. дис. ... канд. юрид. наук : 12.00.09 / С.С. Тупеко ; Акад. МВД Респ. Беларусь. – Минск, 2010. – 21 с.";2010;;;2745;
11;"Уголовно-правовые меры защиты представителей власти в правоохранительной сфере : автореф. дис. ... канд. юрид. наук : 12.00.08 / С.В. Добриян ; Акад. МВД Респ. Беларусь. – Минск, 2010. – 23 с.";2010;;;2746;
11;"Потерпевший в досудебных стадиях уголовного процесса : автореф. дис. ... канд. юрид. наук : 12.00.09 / П.В. Мытник ; Акад. МВД Респ. Беларусь. – Минск, 2001";2001;;;2748;
11;"Принцип диспозитивности в советском гражданском процессуальном праве : автореф. дис. ... канд. юрид. наук : 712 / Л.М. Орлова ; Киевский гос. ун-т им. Т.Г. Шевченко, юрид. фак. – Киев, 1970. – 17 с.";2012;;;2749;
11;"Юридические конфликты : теоретико-методологические аспекты разрешения в процессе применения права : автореф. дис. ... канд. юрид. наук : 12.00.01 / В.И. Павлов ; Белорус. гос. ун-т. – Минск, 2005. – 21 с. (защищена 17.01.2006; утверждена 05.04.2006)";2005;;;2750;
11;"Оценка доказательств в суде первой и второй инстанции по гражданским делам : автореф. дис. ... канд. юрид. наук : 12.00.15 / В.В. Паращенко ; Белорус. гос. ун-т. – Минск, 2009. – 23 с.";2009;;;2751;
11;"Криминогенная сущность личности преступника : психологический аспект : автореф. дис. ... д-ра психол. наук : 19.00.06 / А.Н. Пастушеня ; Акад. упр. МВД России. – М., 2000";2000;;;2752;
11;"Вопросы теории и практики повышения эффективности использования криминалистических учетов в раскрытии, расследовании и предупреждении преступлений : автореф. дис. ... канд. юрид. наук : 12.00.09 / А.П. Пацкевич ; Акад. МВД Респ. Беларусь. – Минск, 2000. – 21 с.";2000;;;2753;
11;"Правовое регулирование деятельности милиции Республики Беларусь : автореф. дис. ... канд. юрид. наук : 12.00.01 / М.А. Пашкеев ; Белорус. гос. ун-т. – Минск, 2004. – 20 с.";2004;;;2754;
11;"Социальная философия В. Хлебникова и постмодернистский стиль философствования : автореф. дис. ... канд. филос. наук : 09.00.11 / Ф.В. Пекарский ; Белорус. гос. ун-т. – Минск, 1999. – 18 с.";1999;;;2755;
11;"Уголовно-правовая защита семьи в Республике Беларусь : автореф. дис. ... канд. юрид. наук : 12.00.08 / В.И. Пенкрат ; Акад. МВД Респ. Беларусь. – Минск, 2003. – 20 с.";2003;;;2756;
11;"Научные основы допроса на предварительном следствии : автореф. дис. ... д-ра юрид. наук: 12.00.09 / Н.И. Порубов ; Всесоюз. ин-т по изучению причин и разраб. мер предупреждения преступности Прокуратуры Союза ССР. – М., 1977. – 31 с.";1977;;;2757;
11;"Правосознание как фактор формирования правового государства : автореф. дис. ... канд. юрид. наук: 12.00.01 / Е.В. Борщева; Акад. МВД Респ. Беларусь. – Минск, 2000. – 20 с. (Защищена 22.12.2000; утверждена 27.06.2001)";2000;;;2758;
11;"Методика расследования выманивания кредита или дотаций (ст. 150-2 УК Респ. Беларусь) : автореф. дис. ... канд. юрид. наук : 12.00.09 / А.А. Вишневский ; Акад. МВД Респ. Беларусь. – Минск, 2000. – 19 с.";1998;;;2759;
11;"Формирование волевых и физических качеств курсантов Академии МВД Республики Беларусь средствами профессионально-прикладной физической подготовки : автореф. дис. ... канд. пед. наук : 13.00.04 / С.А. Гайдук ; Белорус. гос. ун-т физ. культуры. – Минск, 2005. – 23 с.";2005;;;2761;
11;"Содержание трудового договора на современном этапе развития социалистических трудовых отношений : автореф. дис. ... канд. юрид. наук / Д.А. Колбасин ; Всесоюз. юрид. заоч. ин-т. – М., 1986. – 22 с.";1986;;;2940;
11;"Административно-правовое регулирование лицензирования в Республике Беларусь : автореф. дис. ... канд. юрид. наук : 12.00.14 / Д.В. Гвоздев ; Белорус. гос. эконом. ун-т. – Минск, 2010. – 23 с.";2010;;;2966;
11;"Социально-правовые проблемы обеспечения безопасности государства : (Концепция и модель правов. ин-та) : автореф. дис. ... д-ра юрид. наук : 12.00.01 / А.С. Трахименок ; Белорус. гос. ун-т. – Минск, 1998. – 37 с. (Защищена 04.12.1998; утверждена 30.07.1999)";1998;;;3092;
11;"Организационно-правовая деятельность общественных объединений в обеспечении личной безопасности граждан (по материалам Республики Беларусь) : автореф. дис. ... канд. юрид. наук : 12.00.02 / А.С. Трахименок ; Белорус. гос. ун-т. – Минск, 1993. – 24 с.";1993;;;3093;
11;"Уголовно-правовой компромисс и его влияние на ответственность субъекта : автореф. дис. ... канд. юрид. наук : 12.00.08 / А.А. Сёмин ; Акад. МВД Респ. Беларусь. – Минск, 2006. – 21 с.";2006;;;3154;
11;"Теория и практика применения иных мер уголовно-процессуального принуждения : автореф. дис. ... канд. юрид. наук : 12.00.09 / П.В. Гридюшко ; Акад. МВД Респ. Беларусь. – Минск,  2004. – 21 с.";2004;;;3155;
11;"Организация и деятельность милиции Советской Белоруссии в годы строительства социализма (1917-1937 гг.) : автореф. дис. ... д-ра ист. наук: 07.00.02 / А.Ф. Вишневский ; АН Белорус. ССР, Ин-т истории. – Минск, 1985.– 37 с.";1985;;;3275;
11;"Жандармская полиция на железных дорогах Беларуси: организация и деятельность (1861 - 1917 гг.) : автореф. дис. ... канд. ист. наук : 07.00.02 / А.И. Мурашко ; Белорус. гос. ун-т. – Минск, 2006. – 20 с. (защищена 14.12.2006; утверждена 28.03.2007)";2006;;;3484;
11;"Фразеология белорусских летописей : автореф. дис. ... канд. филол. наук : 10.02.02 / В.К. Мороз ; Белорус. гос. ун-т им. В.И.Ленина. – Минск, 1986. – 23 с.";1986;;;3485;
11;"Оперативный эксперимент по делам о взяточничестве : автореф. дис. … канд. юрид. наук : 12.00.09 / В.Н. Крюков ; Учреждение образования ""Акад. М-ва внутр. дел Респ. Беларусь"". – Минск, 2010. – 23 с.";2010;;;4260;
11;"Реализация криминологического прогнозирования в предупреждении преступности : автореф. дис. … канд. юрид. наук : 12.00.08 / Н.А. Аникеева ; Учреждение образования ""Акад. М-ва внутр. дел Респ. Беларусь"". – Минск, 2011. – 24 с. (Защищена 21.04.2011: утверждена 22.06.2011; науч. рук. Ананич В.А.)";2011;;;4262;1
11;"Криминалистическое обеспечение расследования торговли людьми с целью сексуальной эксплуатации : (в стране происхождения — на примере Республики Беларусь): автореферат диссертации на соискание ученой степени кандидата юридических наук : 12.00.09 / М.П. Шруб ; Акад. М-ва внутр. дел Респ. Беларусь. – Минск, 2010. – 28 с.";2010;;;4418;
11;"Теоретико-прикладные проблемы криминалистической характеристики преступлений : автореф. дис. ... д-ра юрид. наук: 12.00.09 / В.Ф. Ермолович; Акад. МВД Респ. Беларусь. – Минск, 2001. – 38 с.";2001;;;4419;
11;"Теоретико-прикладные аспекты использования голографии в борьбе с преступностью : автореф. дис. ... канд. юрид. наук : 12.00.09 / В.Л. Григорович ; Акад. МВД Респ. Беларусь. – Минск, 2005. – 23 с.";2005;;;4420;
11;"Теоретико-правовые и организационные аспекты применения полиграфа в раскрытии преступлений : автореф. дис. ... канд. юрид. наук: 12.00.09 / В.К. Кирвель ; Акад. МВД Респ. Беларусь. – Минск, 2004. – 22 с.";2004;;;4421;
11;"Теоретико-правовые и прикладные аспекты расследования легализации (""отмывания"") материальных ценностей, приобретенных преступным путем : автореф. дис. ... канд. юрид. наук: 12.00.09 / О.В. Маркова ; Акад. МВД Респ. Беларусь. – Минск, 2004. – 20 с.";2004;;;4422;2
11;"Теоретико-прикладные аспекты вопросов и ответов при расследовании преступлений : автореф. дис. ... канд. юрид. наук: 12.00.09 / М.В. Галезник ; Акад. М-ва внутр. дел Респ. Беларусь. – Минск, 2004. – 20 с.";2004;;;4423;
11;"Вопросы теории и практики использования достижений научно-технического прогресса в расследовании преступлений : автореф. дис. ... канд. юрид. наук: 12.00.09 / Г.Б. Дергай ; Акад. М-ва внутр. дел. Респ. Беларусь. – Минск, 2003. – 23 с.";2003;;;4428;
11;"Исследование ДНК и кератинов при судебно-медицинской экспертизе единичных волос : автореф. дис. ... канд. мед. наук: 14.00.24 / Ю.В. Кухарьков ; Минск. гос. мед. ин-т. – Минск, 1998. – 20 с.";2012;;;4432;1
11;"Использование результатов оперативно-розыскной деятельности в работе оперативных и следственных подразделений органов внутренних дел : автореф. дис. ... канд. юрид. наук : 12.00.09: 23.06.11  / А.Н. Тукало; Учреждение образования ""Акад. М-ва внутр. дел Респ. Беларусь"". – Минск, 2011. – 24 с.";2011;;;4508;1
11;"Розыск обвиняемых, скрывающихся от предварительного следствия : (на примере работы оперативных подразделений органов внутренних дел) : автореф. дис. ... канд. юрид. наук : 12.00.09  / А.Н. Толочко; Учреждение образования ""Акад. М-ва внутр. дел Респ. Беларусь"". – Минск, 2011. – 20 с.";2011;;;4509;2
11;"Уголовно-правовые меры борьбы с организацией или содержанием притонов для распития спиртных напитков, потребления наркотиков и других одурманивающих средств : автореф. дис. ... канд. юрид. наук : 12.00.08 / В.С. Яловик ; Моск. высш. шк. милиции МВД СССР. – М., 1991. – 22 с.";1991;;;4510;
11;"Борьба с причинением умышленных телесных повреждений : автореф. дис. ... канд. юрид. наук : 12.00.08 / М.А. Шостак. – М., 1978. – 18 с.";1978;;;4511;
11;"Административно-правовое регулирование профилактики правонарушений и ее обеспечение милицией общественной безопасности : автореф. дис. ... канд. юрид. наук : 12.00.14 / В.В. Коляго ; Учреждение образования ""Акад. М-ва внутр. дел. Респ. Беларусь"". – Минск, 2011. – 25 с.";2012;;;4514;1
11;"Криминалистическая характеристика и первоначальный этап расследования краж цветных металлов : автореф. дис. ... канд. юрид. наук : 12.00.09 / И.Г. Мухин ; Учреждение образования ""Акад. М-ва внутр. дел. Респ. Беларусь"". –- Минск, 2009. – 21 с. (защищена 11.03.2010; утверждена 02.06.2010; научный руководитель Мелешко В.В.)";2009;;;4685;1
11;"Использование моделирования при расследовании фальшивомонетничества : автореф. дис. ... канд. юрид. наук : 12.00.09 / Е.И. Климова ; Акад. МВД Респ. Беларусь. – Минск., 2001. – 20 с.";2001;;;4686;
11;"Субкультура хакеров как порождение информатизации общества : автореф. дис. ... канд. культурологии: 24.00.01 / С.В. Масленченко ; С.-Петерб. гос. ун-т. – С.-Пб., 2008. – 20 с. (защищена 23.10.2008 ; утверждена 16.09.2009 ; научный руководитель Бабосов Е.М.)";2008;;;4687;2
11;"Статус и функции методологической рефлексии в структуре социально-исторического познания : автореф. дис. ... канд. филос. наук: 09.00.01 / Л.Е. Лойко ; Белорус.гос.ун-т. – Минск, 1994. – 17 с.";1994;;;4688;1
