kind;outputdata;year;unused1;unused2;code;halfyear
2;"Криминалистика : учеб. пособие для студентов юридических специальностей учреждений, обеспечивающих получение высшего образования / Н.И. Порубов, Г.И. Грамович, А.Н. Порубов; под ред. Н.И. Порубова. – Минск : Вышэйшая школа, 2007. – 575 с. – (ВУЗ : студентам высших учебных заведений)";2007;;;285;
2;"Криминалистика: учеб. пособие для студентов высших учебных заведений по юрид. специальностям / Г. Н. Мухин, Д. В. Исютин-Федотков; М-во внутрен. дел Респ. Беларусь, Акад. МВД. – Минск: Акад. МВД Респ. Беларусь, 2009. – 227 с.  (Гриф МО)";2009;;;286;
2;"Основы психологии и педагогики : практикум: учеб. пособие для студентов учреждений, обеспечивающих получение высшего образования по юридическим специальностям / Ю. А. Фомин;  М-во внутрен. дел Респ. Беларусь, Акад. МВД. – Минск: Акад. МВД Респ. Беларусь, 2008. – 254 с.";2008;;;487;
2;"Деятельность уголовно-исполнительных инспекций и исправительных учреждений открытого типа : учеб. пособие для студентов высших учебных заведений по специальности ""Правоведение"" / С.В. Казак ; М-во внутрен. дел Респ. Беларусь, Акад. МВД. – Минск : Акад. МВД Респ. Беларусь, 2009. – 247 с. (Гриф МО)";2009;;;640;
2;"Уголовный процесс : учеб. пособие для студентов высших учебных заведений по юридическим специальностям / М. А. Шостак. – Минск: ГИУСТ БГУ, 2008. – 630 с.";2008;;;801;
2;"Преступления против человека / Э.А. Саркисова // Уголовное право Республики Беларусь. Особенная часть : учеб. пособие для студентов высших учебных заведений по специальностям ""Правоведение"", ""Экономическое право"" / А. И. Лукашов [и др.]; под общ. ред. А. И. Лукашова. – Минск : Издательство Гревцова, 2009. – (Серия правовой учебной литературы, Юрист). – Раздел 3. – С. 63-217";2009;;;923;
2;"Гражданское право. Особенная часть : учеб. пособие / Д.А. Колбасин. – 2-е изд. – Минск : Амалфея, 2007. – 784 с.";2007;;;1185;
2;"Гражданское право. Общая часть: учеб. пособие для студентов высших учебных заведений по юридическим специальностям: в 2 т. / Д. А. Колбасин ; М-во внутрен. дел Респ. Беларусь, Акад. МВД. – Минск : Акад. МВД Респ. Беларусь, 2008. – Т. 1. – 263 с. – Т. 2. – 231 с.  (Гриф МО).";2008;;;1209;
2;"Гражданское право. Общая часть : учеб. пособие для студентов высших учебных заведений по юридическим специальностям / Д. А. Колбасин. – Минск : ФУАинформ, 2009. – 592 с.";2009;;;1247;
2;"Хозяйственный процесс : учеб. пособие для студентов высших учебных заведений по специальностям ""Правоведение"", ""Экономическое право"" / В. С. Гальцов, А. Г. Сачек, Д. Г. Цыганков. – Минск : Адукацыя і выхаванне, 2009. – 271 с.";2009;;;1481;
