kind;outputdata;year;unused1;unused2;code;halfyear
10;"Методическая разработка для проведения семинарского занятия по дисциплине «Конституционное право зарубежных стран» на примере темы «Глава государства в зарубежных странах» / М.Г. Головач // Организация образовательного процесса : информ.-метод. сб. / М-во внутрен. дел Респ. Беларусь, Акад. МВД. – Минск : Акад. МВД Респ. Беларусь, 2008. – № 4(2). – С. 113-121";2008;;;53;
10;"Программа педагогической практики адъюнктов Академии МВД Республики Беларусь (для адъюнктов 2-го года обучения) / Е.И. Климова ; М-во внутрен. дел Респ. Беларусь, Акад. МВД. – Минск : Акад. МВД Респ. Беларусь, 2009. – 18 с.";2009;;;60;
10;"Методика расследования поджогов и преступных нарушений правил пожарной безопасности : лекция / И.В. Капустина ; М-во внутрен. дел Респ. Беларусь, Акад. МВД, каф. криминалистики. – Минск : Акад. МВД Респ. Беларусь, 2007. – 36 с.";2007;;;74;
10;"Особенности расследования хищений денежных средств с использованием банковских пластиковых карточек : лекция / Н.И. Лагун, О.Ю. Шпак ; М-во внутрен. дел Респ. Беларусь, Акад. МВД. – Минск : Акад. МВД Респ. Беларусь, 2009. – 31 с.";2009;;;75;
10;"Современные возможности криминалистического обеспечения органов уголовного преследования : лекция / В.М. Логвин ; М-во внутрен. дел Респ. Беларусь, Акад. МВД ; каф. криминалистики. – Минск : Акад. МВД Респ. Беларусь, 2007. – 56 с.";2007;;;76;
10;"Методика расследования криминальных взрывов : лекция / М.В. Галезник; М-во внутрен. дел Респ. Беларусь, Акад. МВД, каф. криминалистики. – Минск : Акад. МВД Респ. Беларусь, 2007. – 39 с.";2007;;;79;
10;"Расследование преступлений, связанных с воспрепятствованием законной предпринимательской деятельности : лекция / О.Ю. Шпак, Н.И. Лагун ; М-во внутрен. дел Респ. Беларусь, Акад. МВД, каф. криминалистики. – Минск : Акад. МВД Респ. Беларусь, 2007. – 28 с.";2007;;;80;
10;"Методика расследования легализации (отмывания) материальных ценностей, приобретенных преступным путем : лекция / О.В. Маркова ; М-во внутрен. дел Респ. Беларусь, Акад. МВД, каф. криминалистики.  – Минск : Акад. МВД Респ. Беларусь, 2007. – 42 с.";2007;;;81;
10;"Следователь – профессия необычная / Н.И. Порубов // Организация образовательного процесса : информ.-метод. сб. / М-во внутрен. дел Респ. Беларусь, Акад. МВД. – Минск : Акад. МВД Респ. Беларусь, 2007. – № 1(1). – С. 123-127";2007;;;162;
10;"Современные возожности технико-криминалистического обеспечения предварительного следствия : лекция / Г.Б. Дергай ; М-во внутрен. дел Респ. Беларусь, Акад. МВД. – Минск : Акад. МВД Респ. Беларусь, 2008. – 27 с.";2008;;;287;
10;"Тактико-криминалистическое обеспечение проведения судебной экспертизы. Современные возможности судебно-экспертных учреждений : лекция / В.Ф. Бурейко, Г.Б. Дергай ; М-во внутрен. дел Респ. Беларусь, Акад. МВД, каф. криминалистики. – Минск : Акад. МВД Респ. Беларусь, 2007. – 45 с.";2007;;;288;
10;"Основы служебной культуры сотрудников ОВД : лекция [для слушателей факультета повышения квалификации и переподготовки руководящих кадров] / М.Ю. Узгорок, И.А. Андарало ; М-во внутрен. дел Респ. Беларусь, Акад. МВД. – Минск : Акад. МВД Респ. Беларусь, 2009. − 31 с.";2009;;;388;
10;"Служебная этика сотрудников ОВД : лекция / М.Ю. Узгорок, И.А. Андарало ; М-во внутрен. дел Респ. Беларусь, Акад. МВД, каф. психологии и педагогики. – Минск : Акад. МВД Респ. Беларусь, 2009. − 47 с.";2009;;;389;
10;"Милицейская риторика. Или как мы говорим / В.Л. Голубев // Милиция Беларуси : правовой литер.-публиц. журн. / МВД Респ. Беларусь. – 2010. – № 1. – С. 20-23";2010;;;390;
10;"Формирование положительного имиджа о деятельности органов внутренних дел Республики Беларусь (методические рекомендации) / И.А. Кибак, В.А. Гончаров // Организация образовательного процесса : информ.-метод. сб. / М-во внутрен. дел Респ. Беларусь, Акад. МВД. – Минск : Акад. МВД Респ. Беларусь, 2008. – № 4(2). – С. 121-129";2008;;;392;
10;"Может ли вузовская лекция быть разной? / В. Л. Голубев // Организация образовательного процесса : информ.-метод. сб. / М-во внутрен. дел Респ. Беларусь, Акад. МВД. – Минск : Акад. МВД Респ. Беларусь, 2007. – № 2(2). – С. 51-54";2007;;;395;
10;"Активизация познавательной деятельности обучаемых – залог их профессиональной компетентности / П. Д. Горбарук // Организация образовательного процесса : информ.-метод. сб. / М-во внутрен. дел Респ. Беларусь, Акад. МВД. – Минск : Акад. МВД Респ. Беларусь, 2007. – № 1(1). – С. 112-118";2007;;;396;
10;"Возможности и задачи учебного заведения в воспитательном процессе / П. Д. Горбарук // Организация образовательного процесса: информ.-метод. сб. / М-во внутрен. дел Респ. Беларусь, Акад. МВД. – Минск: Акад. МВД Респ. Беларусь, 2007. – № 2(2). – С. 54-60";2007;;;397;
10;"Повышение роли эстетизации и художественной содержательности познавательной деятельности курсантов / П. Д. Горбарук // Организация образовательного процесса : информ.-метод. сб. / М-во внутрен. дел Респ. Беларусь, Акад. МВД. – Минск : Акад. МВД Респ. Беларусь, 2010. – № 6(1). – С. 76-83";2010;;;398;
10;"Пути и методы повышения качества педагогического процесса в высшей школе / П.Д. Горбарук // Организация образовательного процесса : информ.-метод. сб. / М-во внутрен. дел Респ. Беларусь, Акад. МВД. – Минск : Акад. МВД Респ. Беларусь, 2008. – № 3(1). – С. 161-166";2008;;;399;
10;"Лекция как ведущая форма учебных занятий в вузе. Основные требования к лекции / А. А. Урбанович // Организация образовательного процесса : информ.-метод. сб. / М-во внутрен. дел Респ. Беларусь, Акад. МВД. – Минск : Акад. МВД Респ. Беларусь, 2009. – № 5(1). – С. 77-81";2009;;;400;
10;"Лекция как ведущая форма учебных занятий в вузе. Методика подготовки лекции / А.А. Урбанович // Организация образовательного процесса : информ.-метод. сб. / М-во внутрен. дел Респ. Беларусь, Акад. МВД. – Минск : Акад. МВД Респ. Беларусь, 2010. – № 6(1). – С. 61-64";2010;;;401;
10;"Особенности мотивации обучаемых при изучении психолого-педагогических дисциплин на основе рейтинговой системы / А.А. Урбанович // Организация образовательного процесса : информ.-метод. сб. / М-во внутрен. дел Респ. Беларусь, Акад. МВД. – Минск : Акад. МВД Респ. Беларусь, 2008. – № 3(1). – С. 182-189";2008;;;402;
10;"Психологические особенности деятельности преподавателя / А.А. Урбанович // Организация образовательного процесса : информ.-метод. сб. / М-во внутрен. дел Респ. Беларусь, Акад. МВД. – Минск : Акад. МВД Респ. Беларусь, 2008. – № 4(2). – С. 103-108";2008;;;403;
10;"Профессора и студенты Полоцкой иезуитской академии / В.Л. Голубев // Организация образовательного процесса : информ.-метод. сб. / М-во внутрен. дел Респ. Беларусь, Акад. МВД. – Минск : Акад. МВД Респ. Беларусь, 2008. – № 4(2). – С. 133-136";2008;;;404;
10;"Имидж сотрудника органов внутренних дел как фактор формирования позитивного общественного мнения о работе органов внутренних дел Республики Беларусь / И. А. Кибак // Организация образовательного процесса : информ.-метод. сб. / М-во внутрен. дел Респ. Беларусь, Акад. МВД. – Минск : Акад. МВД Респ. Беларусь, 2009. – № 5(1). – С. 92-104";2009;;;405;
10;"Задачи практических занятий по психологическим дисциплинам и их реализация / А. Н. Пастушеня // Организация образовательного процесса : информ.-метод. сб. / М-во внутрен. дел Респ. Беларусь, Акад. МВД. – Минск : Акад. МВД Респ. Беларусь, 2009. – № 5(1). – С. 69-76";2009;;;428;
