kind;outputdata;year;unused1;unused2;code;halfyear
15;"Legal aspects of labor migration management in the Republic of Belarus / О. Бахур (O. Bakhur) // CARIM East – CARIM East – Consortium for Applied Research on International Migration = КАРИМ-Восток – Консорциум прикладных исследований по международной миграции [Electronic resource]. – 2009. – Mode of access: http://www.carim-east.eu/media/CARIM-East-RR-2013-19.pdf. – Date of access: 15.05.2013";2013;;;5970;1
15;"Правовые аспекты управления трудовой миграцией в Республике Беларусь / О. Бахур (O. Bakhur) // CARIM East – Consortium for Applied Research on International Migration = КАРИМ-Восток – Консорциум прикладных исследований по международной миграции [Electronic resource]. – 2009. – Mode of access: http://www.carim-east.eu/media/CARIM-East-2012-RU-10.pdf. – Date of access: 13.11.2013";2012;;;5971;2
15;"Права иммигрантов сквозь призму интеграции / О. Бахур (O. Bakhur) // CARIM East – Consortium for Applied Research on International Migration = КАРИМ-Восток – Консорциум прикладных исследований по международной миграции [Electronic resource]. – 2009. – Mode of access:  http://www.carim-east.eu/media/CARIM-East-RR-2013-32.pdf. – Date of access: 13.11.2013";2013;;;5972;2
15;"The Legal Framework for Circular Migration in Belarus / О. Бахур (O. Bakhur) // CARIM East – CARIM East – Consortium for Applied Research on International Migration = КАРИМ-Восток – Консорциум прикладных исследований по международной миграции [Electronic resource]. – 2009. – Mode of access: http://www.carim-east.eu/media/exno/Explanatory%20Notes_2012-71.pdf. – Date of access: 15.05.2013 (ПОЯСНИТЕЛЬНАЯ ЗАПИСКА)";2012;;;5973;2
15;"The System of Asylum Legislation in the Republic of Belarus / О. Бахур (O. Bakhur) // CARIM East – CARIM East – Consortium for Applied Research on International Migration = КАРИМ-Восток – Консорциум прикладных исследований по международной миграции [Electronic resource]. – 2009. – Mode of access: http://www.carim-east.eu/media/legal%20module/exno/Explanatory%20Notes%202012-15.pdf. – Date of access: 15.05.2013 (ПОЯСНИТЕЛЬНАЯ ЗАПИСКА)";2012;;;5974;1
15;"The System of Migration-Related Legislation in theRepublic of Belarus / О. Бахур (O. Bakhur) // CARIM East – Consortium for Applied Research on International Migration = КАРИМ-Восток – Консорциум прикладных исследований по международной миграции [Electronic resource]. – 2009. – Mode of access: http://www.carim-east.eu/media/legal%20module/exno/Explanatory%20Notes%202012-16.pdf. – Date of access: 15.05.2013 (ПОЯСНИТЕЛЬНАЯ ЗАПИСКА)";2012;;;5975;1
15;"Правовые аспекты борьбы с торговлей людьми в Республике Беларусь / О. Бахур (O. Bakhur) // CARIM East – Consortium for Applied Research on International Migration = КАРИМ-Восток – Консорциум прикладных исследований по международной миграции [Electronic resource]. – 2009. – Mode of access: http://www.carim-east.eu/media/exno/Explanatory%20Notes_2013-35.pdf. – Date of access: 15.05.2013 (ПОЯСНИТЕЛЬНАЯ ЗАПИСКА)";2013;;;5976;2
15;"Отчет о научно-исследовательской работе «Анализ правоприменительной и правоохранительной практик в деятельности правоохранительных и иных органов и организаций в сфере противодействия домашнему насилию» / И.Л. Федчук, С.В. Добриян, В.В. Коляго. – Минск : В.И.З.А. Групп, 2014. – 208 с";2014;;;7180;2
