kind;outputdata;year;unused1;unused2;code;halfyear
1;"Уголовно-исполнительное право : учебник для студентов специальности ""Правоведение"" учреждений, обеспечивающих получение высшего образования / А.В. Шарков. – 2-е изд., исправленное и дополненное. – Минск : Тесей, 2008. – 383 с.";2008;;;639;
1;"Рабочее время (п. 7.4 гл. 7 «Трудовое право») / А.А. Греченков // Основы права : учебник для студентов учреждений, обеспечивающих получение высшего образования / Л.М. Рябцев [и др.]; под общ. ред. Л.М. Рябцева, В.Г. Тихини, Г.Б. Шишко. – Минск : Интегралполиграф, 2008. – Гл. 7. – С. 448-459";2008;;;1219;
1;"Основы права : учебник для студентов учреждений, обеспечивающих получение высшего образования /  А.А. Греченков, В.А. Кучинский, Н.А. Горбаток [и др.]; под общ. ред. Г.Б. Шишко. – 3-е изд., переработанное и дополненное. – Минск : Амалфея, 2009. – 784 c.";2009;;;1254;
1;"Теория государства и права: учебник / В.В. Лазарев, С.В. Липень, А.Х. Саидов. – М.: Изд-во Рос. эконом. акад., 2007. – 620 с.";2007;;;1704;
1;"Теория государства и права: учебник / В.В. Лазарев, С.В. Липень, А.Х. Саидов. – Ташкент: AKADEMIYA, 2007. – 736 с.";2007;;;1705;
1;"История политических и правовых учений : учебник /  Ю.Я. Баскин, С.В. Липень (2.6, 4.1, 4.3, 4.5, 5.2, 5.3, 6.4, 6.9, 7.1, 7.2, 7.6, 8.14, 8.15, 8.19-8.25, 11.4, 11.5, 11.10, 11.16) [и др.] ; отв. ред. В. В. Лазарев. – 2-е изд., испр. и доп. – М. : Высшее образование, 2008. – 917 с. – (Основы наук).  (Гриф МО РФ)";2008;;;1706;
1;"Теория государства и права : учебник для курсантов и слушателей образовательных учреждений высшего профессионального образования МВД России по специальности 030501.65 ""Юриспруденция"" / В.В. Лазарев, С.В. Липень ( Гл. 1, п. 1-4 Гл. 26, п.1-3 Гл.11), В.С. Афанасьев [и др.] ; под ред.: В.Я. Кикотя, В.В. Лазарева. – 3-е изд., перераб. и доп. – М. : Форум : ИНФРА-М, 2008. – 619 с. – (Высшее образование)";2008;;;1707;
1;"Военная администрация. (Военно-административное право) : учебник / Н.А. Горбаток, О.В. Шелков [и др.]; под общ. ред. И.А. Гарнака, С.В. Матвейчука, С.В. Шелкова. – Минск : ВА Респ. Беларусь, 2009. – 501 с. (Горбаток Н.А. – С. 361-389)";2009;;;1708;
1;"Теория государства и права : учебник для курсантов и слушателей образовательных учреждений высшего профессионального образования МВД России по специальности 030501.65 ""Юриспруденция"" / В.С. Афанасьев, С.В. Липень [и др.] ; под ред. А.Г. Хабибулина, В.В. Лазарева. – 3-е изд., перераб. и доп. – М.: Форум : ИНФРА-М, 2009. – 619 с. – (Высшее образование)";2009;;;1709;
1;"Общая теория государства и права : учебник для студентов высших учебных заведений по юридическим специальностям / А. Ф. Вишневский, Н. А. Горбаток, В. А. Кучинский.  – Минск : Интегралполиграф, 2009. – 550 с.";2009;;;1710;
