kind;outputdata;year;unused1;unused2;code;halfyear
7;"Сборник нормативных правовых актов по преподаваемым дисциплинам : в 3 ч. / В.С. Гайдельцов. – Минск : ИНБ Респ. Беларусь, 2007. – Ч. 3. – 322 с.";2007;;;39;
7;"Терминологический словарь к закону Республики Беларусь «Об оперативно-розыскной деятельности» / И.И. Басецкий, В.С. Гайдельцов; М-во внутрен. дел Респ. Беларусь, Акад. МВД. – Минск: Акад. МВД Респ. Беларусь, 2009. – 67 с.";2009;;;48;
7;"Криминалистический словарь-справочник : в 3 т. / М-во внутрен. дел Респ. Беларусь, Акад. МВД ; авт.-сост. Д.В. Исютин-Федотков. – Минск : Акад. МВД Респ. Беларусь, 2007. – Т. 1: А–Л. – 235 с. – Т. 2: М–С. – 251 с. – Т. 3: Т–Я. – 284 с.";2007;;;218;
7;"Справочное пособие криминалиста, судьи, прокурора, следователя / Акад. М-ва внутрен. дел Респ. Беларусь, Науч.-исслед. ин-т криминалистики и суд. экспертизы М-ва юстиции Респ. Беларусь ; авт.-сост.: А.С. Рубис, Д.В. Исютин-Федотков. – Минск : Харвест, 2007. – 736 с.";2007;;;219;
7;"Современное короткоклинковое холодное оружие и конструктивно сходные с ним изделия : справ.-метод. пособие / Ю.В. Пономаренко, Г.В. Михайленко, В.В. Потоцкий, С.Ф. Новиков, В.В. Фалей, А.В. Водолазов, Г.Б. Дергай, А.А. Артюшин, З.И. Канапацкий, Д.Г. Шляхтин, А.С. Рубис, В. И. Авсянников; под общ. ред. В.И. Авсянникова, А.С. Рубиса; Центр суд. экспертиз и криминалистики М-ва юстиции Респ. Беларусь, Гос. эксп.-криминалистический центр М-ва внутрен. дел Респ. Беларусь, Акад. М-ва внутрен. дел Респ. Беларусь, Нац. музей истории и культуры Беларуси. – Мнск : Право и экономика, 2010. – 159 c.";2010;;;316;
7;"Правовые основы регулирования работы с несовершеннолетними : сб. нормат. актов и док. / сост. О.П. Колченогова. – Минск : Тонпик, 2007. – 470 с.";2007;;;605;
7;"Амнистия 2007 (комментарий к Закону Республики Беларусь от 22 ноября 2007г. № 287-3 «Об амнистии некоторых категорий лиц,  совершивших преступления») / Э.А. Саркисова // КонсультантПлюс : Беларусь. Технология 3000 [Электронный ресурс] / ООО «Юрспектр». – Минск, 2007";2007;;;831;
7;"Освобождение от наказания, сроки давности и погашения судимости несовершеннолетних / А.А. Примаченок // Энциклопедия уголовного права : в 35 т. / отв. ред. В.Б. Малинин. – СПб.: издание Малинина, 2005–. – Т. 11 : Уголовная ответственность несовершеннолетних / А.А. Примаченок [и др.], 2008. – 460 с.";2008;;;868;
7;"Научно-практический комментарий к Закону Республики Беларусь ""Об органах внутренних дел Республики Беларусь"" / А.А. Вишневский, А.Ф. Вишневский, В.А. Кучинский, А.А. Греченков, Г.И. Путрина, П.В. Гридюшко, И.В. Данько, С.В. Добриян, И.В. Козелецкий, Д.А. Колбасин, А.И. Курак, И.И. Куценков, А.В. Лубенков, В.В. Мороз, В.И. Павлов, М.А. Пашкеев, А.А. Постникова, И.М. Серебрякова, А.А. Тариков, И.Л. Федчук, Р.Е. Чернецкий, С.П. Чигринов, И.И. Басецкий; под общ. ред. И.И. Басецкого; М-во внутрен. дел Респ. Беларусь, Акад. МВД. – Минск : Акад. МВД Респ. Беларусь, 2007. – 237 с.";2007;;;1050;
7;"Сборник основных нормативных правовых актов и иных документов, регламентирующих оперативно-служебную деятельность органов внутренних дел / М-во внутрен. дел Респ. Беларусь, Акад. МВД ; сост. А.А. Постникова, Н.М. Беганский ; под общ. ред. канд. юрид. наук, доц. В.В. Бачилы. – Минск : Акад. МВД Респ. Беларусь, 2007. – 352 с.";2007;;;1053;
7;"Об органах внутренних дел Республики Беларусь : науч.-практ. комментарий к Закону Республики Беларусь / А.А. Вишневский, А.Ф. Вишневский, В.А. Кучинский, А.А. Греченков, Г.И. Путрина, П.В. Гридюшко, И.В. Данько, С.В. Добриян, И.В. Козелецкий, Д.А. Колбасин, А.И. Курак, И.И. Куценков, А.В. Лубенков, А.Л. Максимов, В.В. Мороз, В.И. Павлов, М.А. Пашкеев, А.А. Постникова, И.М. Серебрякова, Д.Г. Стрельский, А.И. Сухаркова, А.А. Тариков, И.Л. Федчук, Р.Е. Чернецкий, С.П. Чигринов, И.И. Басецкий; под общ. ред. И. И. Басецкого; М-во внутрен. дел Респ. Беларусь, Акад. МВД. – 2-е изд., исправленное и дополненное. – Минск : Акад. МВД Респ. Беларусь, 2008. – 259 c.";2008;;;1088;
7;"Сборник нормативных правовых актов и иных документов, регламентирующих кадровую работу в органах внутренних дел : в 2 т. / М-во внутрен. дел Респ. Беларусь, Акад. МВД ; сост.: В.В. Бачила, Н.М. Беганский, А.Е. Назаренко. – Минск : Акад. МВД Респ. Беларусь, 2009. – Т. 1. – 228 с.";2009;;;1097;
7;"Комментарий к Трудовому кодексу Республики Беларусь : для профессионалов : в 40 вып. / Гл. ред. В.И. Кривой, 2007–. – Вып. 13-14: Глава 10. Рабочее время (статьи 110-133) ; Глава 11. Перерывы в течение рабочего дня. Государственные праздники, праздничные и выходные дни (статьи 134-148) / В.И. Кривой, А.А. Греченков. – Гомель : Е.А. Ковалева, 2008. – 416 с.";2008;;;1214;
7;"Комментарий к Трудовому кодексу Республики Беларусь : для профессионалов : в 40 вып. / Гл. ред. В.И. Кривой, 2007. – Вып. 37: Глава 37. Материальная ответственность работников за ущерб, причиненный нанимателю при исполнении трудовых обязанностей (статьи 400-409) / А. А. Греченков. – Гомель : Е.А. Ковалева, 2008. – 128 с.";2008;;;1215;
7;"Комментарий к Трудовому кодексу Республики Беларусь : по состоянию на 10 июня 2008 г. / Н.А. Горбаток, А.А. Греченков, Д.А. Колбасин, В.А. Кучинский [и др.]; под общ. ред. Г.А. Василевича ; М-во юстиции Респ. Беларусь. – 4-е изд., переработанное и дополненное. – Минск : Амалфея, 2008. – 1231 с.";2008;;;1216;
7;"Постатейный комментарий к Трудовому кодексу Республики Беларусь : подготовлен с использованием нормативных правовых актов по состоянию на 2 апреля 2008 г. / М-во юстиции Респ. Беларусь; Н.А. Горбаток, А.А. Греченков, Д.А. Колбасин, В.А. Кучинский [и др.]; под общ. ред. Г. А. Василевича. – Минск : Информационно-правовое агентство ""Регистр"", 2008. – 1024 с.";2008;;;1227;
7;"Порядок предоставления трудовых отпусков / А.А. Греченков //  Отпуск от А до Я : рекомендовано специалистами-практиками / сост. Т. А. Фалалеева. – Минск : Информ.-прав. агентство ""Регистр"", 2009. – (Подписная серия ""Современному бухгалтеру""). – С. 27-39";2009;;;1242;
7;"Беларусь : Народ. Государство. Время / Нац. акад. наук Беларуси, Ин-т истории ; редкол. : А.А. Коваленя [и др.]. – Минск : Беларус. навука, 2009. – 879 с. – Раздел : Истоки и формирование белорусской государственности. Глава : Период Речи Посполитой. Параграфы : Реформы в ВКЛ в 1560-е гг. / А.А. Радоман. – С. 74-75 ; Политическое устройство во 2-й половине XVI–XVII в. / А.А. Радоман. – С. 77-81";2009;;;1647;
7;"Сборник нормативных правовых актов и иных документов, регламентирующих кадровую работу в органах внутренних дел : в 2 т. / М-во внутрен. дел Респ. Беларусь, Акад. МВД ; сост.: В.В. Бачила, Н.М. Беганский, И.В. Ломоть, А.А. Чеснов. – 2-е изд., дополненное и переработанное. – Минск : Акад. МВД Респ. Беларусь, 2009. – Т. 1. – 275 с.";2009;;;1913;
7;"Комментарий к Кодексу Республики Беларусь о браке и семье / В.И. Пенкрат (ст. 116-141) ; под ред. В.Г. Тихини, В.Г. Голованова. – Минск : УП ""Светоч"", 2010. – С. 144-176";2010;;;2105;
7;"Наркосленг : словарь жаргон. слов и выражений, используемых в среде наркопотребителей / М-во внутрен. дел Респ. Беларусь, Акад. МВД ; сост.: Д.Л. Харевич, С.Е. Островский. – Минск : Акад. МВД Респ. Беларусь, 2008. – 58 с.";2008;;;2204;
7;"О новом акте проявления гуманизма государства к лицам, совершившим преступления (комментарий к Закону Республики Беларусь от 01.07.2010 г. № 147-З ""Об амнистии в связи с 65-летием Победы в Великой Отечественной Войне 1941-1945 годов"") / Э.А. Саркисова // КонсультантПлюс : Беларусь. Технология 3000 [Электронный ресурс] / ООО «Юрспектр». – Минск, 2010";2010;;;2341;
7;"Конституционное право Республики Беларусь в вопросах и ответах: справ. пособие / А.И. Курак, А.П. Жалов. – Минск : Белтаможсервис, 2006. – 277 с.";2006;;;2449;
7;"Сборник локальных нормативных правовых документов по организации образовательного процесса в учреждении образования ""Академия Министерства внутренних дел Республики Беларусь"" / М-во внутрен. дел Респ. Беларусь, Акад. МВД ; сост.: А.Л. Савенок, О.З. Рыбаключева, Е.В. Котенко ; под ред. А.Л. Савенка. – Минск : Акад. МВД, 2010. – 367 с.";2010;;;2515;
7;"Стрелковое оружие : справочник / сост.: А.В. Долидович. – Минск : Бонем, 2005. – 399 с.";2005;;;2520;
7;"Сборник международно-правовых документов и национальных нормативных правовых актов по вопросам оперативно-розыскной деятельности / Сост.: В.В. Бачила, И.В. Ломоть, С.А. Кадушкин, В.Б. Шабанов. – Минск : ООО «ИПА «Регистр», 2001. – 488 с.";2001;;;2533;
7;"Алф.-терминол. указ. / Подгот.: В.Б. Шабанов (общ. ред.) [и др.] // Уголовно-исполнительный кодекс Республики Беларусь : принят Палатой представителей 14 дек. 1999 г. : одобр. Советом Респ. 22 дек. 1999 г. / Вступ. ст.: В.Б. Шабанов. – Минск : Тесей, 2005. – С. 160-193. – (Кодексы Республики Беларусь)";2005;;;2765;
7;"Комментарий к Закону ""О государственной границе Республики Беларусь"" / А.А. Павловский, Е.П. Ковалев, В.Ф. Ермолович, В.Б. Шабанов [и др.]; под общ. ред. А.А. Павловского, В.Ф. Ермоловича. – Минск : Амалфея, 2003. – 512 с.";2003;;;2848;
7;"Алф.-терминол. указ. к Уголовно-исполнительному кодексу Республики Беларусь : науч.-практ. изд. / Подгот. : В.Б. Шабанов, С.А. Кадушкин, А.Л. Лукьянович / Нац. центр правовой информ. Респ. Беларусь, Ком. исполн. наказаний при МВД Респ. Беларусь ; под ред. В.Б. Шабанова. – Минск : Нац. центр правов. информ. Респ. Беларусь, 2001. – 70 с.";2001;;;2851;
7;"Криминалистический словарь-справочник / авт.-сост. Д.В. Исютин-Федотков. – М. : Издательство ""Юрлитинформ"", 2010. – 464 с.";2010;;;2942;
7;"Установка для моделирования рикошета огнестрельного снаряда в экспериментальных условиях / А.О. Гусенцов // Молодежный инновационный форум «Интри-2010». Каталог инновационных разработок (Минск, 29-30 нояб. 2010 г.) / Гос. комитет по науке и технологиям Респ. Беларусь, ГУ «БелИСА» ; под ред. д-ра техн. наук И.В. Войтова. – Минск, 2010.  – С. 134";2010;;;3302;
7;"Наркотики : криминалист. справ. / М-во внутр. дел. Респ. Беларусь, учреждение образования «Акад. М-ва внутр. дел. Респ. Беларусь» ; сост. Д.Л. Харевич. – Минск : Акад. МВД, 2011. – 119 с.";2011;;;3379;1
7;"Справочник по ветеринарной и медицинской паразитологии / А.И. Ятусевич, И.В. Рачковская, В.М. Каплич. – Минск : Техноперспектива, 2011. – 443 с.";2011;;;3494;
7;"Комментарий к гл. 7 «Исполнение наказания в виде исправительных работ» Уголовно-исполнительного кодекса Республики Беларусь / Э.А. Саркисова, С.В. Казак, И.И. Куценков // КонсультантПлюс: Беларусь. Технология 3000 [Электронный ресурс] / ООО «Юрспектр». – Минск, 2011";2011;;;3636;2
7;"Комментарий к гл. 6 «Исполнение наказания в виде лишения права занимать определенные должности или заниматься определенной деятельностью» Уголовно-исполнительного кодекса Республики Беларусь / Э.А. Саркисова, С.В. Казак, И.И. Куценков // КонсультантПлюс: Беларусь. Технология 3000 [Электронный ресурс] / ООО «Юрспектр». – Минск, 2011";2011;;;3637;2
7;"Комментарий к гл. 5 «Исполнение наказания в виде штрафа» Уголовно-исполнительного кодекса Республики Беларусь / Э.А. Саркисова, С.В. Казак, И.И. Куценков // КонсультантПлюс: Беларусь. Технология 3000 [Электронный ресурс] / ООО «Юрспектр». – Минск, 2011";2011;;;3638;2
7;"Комментарий к главе 4 «Исполнение наказания в виде общественных работ» Уголовно-исполнительного кодекса Республики Беларусь / Э.А. Саркисова, С.В. Казак, И.И. Куценков // КонсультантПлюс: Беларусь. Технология 3000 [Электронный ресурс] / ООО «Юрспектр». – Минск, 2011";2011;;;3639;2
7;"Понятие и виды преступлений против семьи и несовершеннолетних / А.А. Примаченок // Энциклопедия уголовного права : в 35 т. / отв. ред. В.Б. Малинин. – СПб.: Издание проф. Малинина – Спб ГКА, 2011. – Т. 18, гл. 1. – С. 3-127";2011;;;3640;2
7;"Комментарий к гл. 46 ""Производство по уголовному делу о применении принудительных мер безопасности и лечения"" Уголовно-процессуального кодекса Республики Беларусь. Часть I / Л.И. Кукреш // КонсультантПлюс : Беларусь. Технология 3000 [Электронный ресурс] / ООО «Юрспектр». – Минск, 2011";2011;;;3661;2
7;"Комментарий к гл. 46 ""Производство по уголовному делу о применении принудительных мер безопасности и лечения"" Уголовно-процессуального кодекса Республики Беларусь. Часть II / Л.И. Кукреш // КонсультантПлюс : Беларусь. Технология 3000 [Электронный ресурс] / ООО «Юрспектр». – Минск, 2011";2011;;;3662;2
7;"Комментарий к гл. 44 ""Производство по делам частного обвинения"" Уголовно-процессуального кодекса Республики Беларусь / Л.И. Кукреш // КонсультантПлюс : Беларусь. Технология 3000 [Электронный ресурс] / ООО «Юрспектр». – Минск, 2011";2011;;;3663;2
7;"Уголовная ответственность и наказание / Д.Г. Мороз, Н.В. Кийко // Юридический справочник для населения / С.М. Ананич [и др.] ; Нац. центр законодательства и правовых исследований Респ. Беларусь. – Минск : ГИУСТ БГУ, 2011. – С. 129-138.";2011;;;3701;1
7;"Академия : система международной деятельности : информ.-справ. пособие / В.В. Бачила [и др.] ; М-во внутр. дел Респ. Беларусь, учреждение образования «Акад. М-ва внутр. дел Респ. Беларусь». – Минск : Акад. МВД, 2011. – 43 с.";2011;;;3810;2
7;"Академия : научно-исследовательская деятельность и подготовка научных кадров высшей квалификации : информ.-справ. пособие / В.В. Бачила [и др.] ; М-во внутр. дел Респ. Беларусь, учреждение образования «Акад. М-ва внутр. дел Респ. Беларусь». – Минск : Акад. МВД, 2011. – 30 с.";2011;;;3813;2
7;"Комментарий к Трудовому кодексу Республики Беларусь / А.А. Греченков (Гл. 13-15. – С. 630-679), Д.А. Колбасин (Гл. 32. – С. 1002-1019) [и др.]. – 2-е изд., перераб. и доп. – Минск : Дикта, 2011. – 1200 с.";2011;;;3814;2
7;"Ваенная энцыклапедыя Беларусi / А.В. Шаркоў (А.В. Шарков)  [і інш.] ; рэдкал. : Л.У. Языковiч (гал. рэд.) [i iнш.]. – Мiнск : Беларуская Энцыклапедыя, 2010. – 1132 с.";2010;;;3870;
7;"Преступление / Н.Ф. Ахраменка // Юридический справочник для населения / С.М. Ананич [и др.] ; Нац. центр законодательства и правовых исследований Респ. Беларусь. – Минск : ГИУСТ БГУ, 2011. – С. 121-125";2011;;;4020;2
7;"Сборник локальных и ведомственных нормативных правовых документов по организации образовательного процесса в учреждении образования «Академия Министерства внутренних дел Республики Беларусь» / М-во внутр. дел. Респ. Беларусь, учреждение образования «Акад. М-ва внутр. дел Респ. Беларусь» ; сост.: А.Л. Савенок, О.З. Рыбаключева, Е.В. Котенко ; под ред. А.Л. Савенка. – Минск : Акад. МВД, 2012. –  479 с.";2012;;;4271;1
7;"Научно-практический комментарий к Уголовно-исполнительному кодексу Республики Беларусь / Н.Ф. Ахраменка (Гл. 17 – С. 484–492, гл. 18, 19 (в соавт. с В.М. Хомичем) – С. 494–546), С.В. Казак (Гл. 6,7 (в соавт. с И.И. Куценковым) – С. 120–151), И.И. Куценков (Гл. 4, 5 (в соавт. с Э.А. Саркисовой) – С. 104–120, гл. 6, 7 (в соавт. с С.В. Казак) – С. 120–151), А.Н. Пастушеня (Гл. 14, 15, 16 – С. 393–483), Э.А. Саркисова (Гл. 4,5 (в соавт. с И.И. Куценковым) – С. 104–120), В.Б. Шабанов (Гл. 11 (кроме ст. 77–80) – С. 287–298; гл. 12 (кроме ст. 93) – С. 316–355, 359–375), А.В. Шарков (Гл. 3, 13, 25, 26 – С. 70–103, 376–392, 615–670) [и др.] ; под общ. ред. В.М. Хомича. – Минск : ГИУСТ БГУ, 2012. – 696 с.";2012;;;4547;1
7;"Правила дорожного движения Республики Беларусь с подробными разъяснениями и комментариями : согласовано с УГАИ МВД Республики Беларусь / А.А. Сушко, М.М. Сосно, В.Г. Пиульский. – 2-е изд., испр. и доп. – Минск : Харвест, 2012. – 304 с.";2012;;;4788;2
7;"Наркотики : пособие для криминалистов / сост. Д.Л. Харевич. – Минск : Промкомплекс, 2012. – 135 с.";2012;;;4881;2
7;"Постатейный комментарий к Уголовно-процессуальному кодексу Республики Беларусь. Часть I. Общие положения. Раздел I. Основные положения. Глава 3. Уголовное преследование (статьи 26–30) / В.В. Мелешко // Консультант Плюс : Беларусь. Технология 3000 [Электронный ресурс] / ООО «ЮрСпектр», Нац. центр правовой информ. Респ. Беларусь. – Минск, 2012";2012;;;4928;2
7;"Постатейный комментарий к Уголовно-процессуальному кодексу Республики Беларусь. Часть I. Общие положения. Раздел II. Государственные органы и другие участники уголовного процесса. Глава 9. Обстоятельства, исключающие возможность участия в производстве по уголовному делу (статьи 76 - 87) / В.В. Мелешко // Консультант Плюс : Беларусь. Технология 3000 [Электронный ресурс] / ООО «ЮрСпектр», Нац. центр правовой информ. Респ. Беларусь. – Минск, 2012.";2012;;;4929;2
7;"Комментарий к Закону ""О прокуратуре Республики Беларусь"" / В.М. Хомич, Л. Г. Букато [и др.] ; под общ. ред. А.В. Конюка ; Науч.-практ. центр проблем укрепления законности ии правопорядка Ген. прокуратуры Респ. Беларусь. – Минск : Амалфея, 2012. – 263 с.";2012;;;4952;2
7;"Постатейный комментарий к Уголовно-процессуальному кодексу Республики Беларусь. Глава 27. Привлечение в качестве обвиняемого, предъявление обвинения, допрос обвиняемого / В.В. Мелешко // Консультант Плюс: Беларусь. Технология 3000 [Электронный ресурс] / ООО «ЮрСпектр», Нац. центр правовой информ. Респ. Беларусь. – Минск, 2013";2013;;;5295;1
7;"Комментарий к гл. 11 «Отчуждение, приобретение и ипотека жилых помещений» Жилищного кодекса Республики Беларусь / О.В. Шелков // Консультант Плюс : Беларусь. Технология 3000 [Электронный ресурс] / ООО “ЮрСпектр”, Нац. центр правовой информ. Респ. Беларусь. – Минск, 2013";2013;;;5330;1
7;"Комментарий к Уголовному кодексу Республики Беларусь: Преступления против интересов службы; Преступления против государства / В. М. Хомич // КонсультантПлюс: Беларусь». Технология 3000 [Электронный ресурс] / ООО «ЮрСпектр», Нац. центр правовой информ. Респ. Беларусь. – Минск, 2016.";2016;;;9083;2
7;"Комментарий к Закону Республики Беларусь «О борьбе с коррупцией» / С.А. Акулова, В.М. Хомич, П.И. Сащеко [и др.] ; под общ. ред. В.М. Хомича. – Минск : Пересвет, 2013. – 232 с.";2013;;;5390;1
7;"Типология личности преступника и классификация преступников / Н.Ф. Ахраменка // Белорусская юридическая энциклопедия: в 4 т. – Т. 4. Т–Я / редкол.: С.А. Балашенко [и др.]. – Минск : ГИУСТ БГУ, 2013. – С. 27-29";2013;;;5391;1
7;"Условия, способствующие причинам преступности / Н.Ф. Ахраменка // Белорусская юридическая энциклопедия: в 4 т. – Т. 4. Т–Я / редкол.: С.А. Балашенко [и др.]. – Минск : ГИУСТ БГУ, 2013. – С. 125-126";2013;;;5392;1
7;"Факторы преступности / Н.Ф. Ахраменка // Белорусская юридическая энциклопедия: в 4 т. – Т. 4. Т-Я / редкол.: С.А. Балашенко [и др.]. – Минск : ГИУСТ БГУ, 2013. – С. 147-148";2013;;;5393;1
