kind;outputdata;year;unused1;unused2;code;halfyear
4;"Римское гражданское право : курс лекций / Е.В. Лобатенко ; М-во внутрен. дел Респ. Беларусь, Акад. МВД. – Минск : Акад. МВД Респ. Беларусь, 2009. – 119 с.";2009;;;8;
4;"Правовое регулирование оперативно-розыскной деятельности : курс лекций / В.С. Гайдельцов. – Минск : ИНБ Респ. Беларусь, 2007. – 110 с.";2007;;;36;
4;"Международное частное право : курс лекций: [для курсантов, студентов и слушателей] / Н.И. Рудович, М.Л. Чудаева ; М-во внутрен. дел Респ. Беларусь, Акад. МВД. – Минск : Акад. МВД Респ. Беларусь, 2008. – 119 с.";2008;;;65;
4;"Криминалистическая тактика : конспект лекций / Г.В. Фёдоров, В.Л. Григорович, И.И. Лузгин ; под ред. Г.В. Федорова. – Новополоцк : ПГУ, 2010. – 176 с.";2010;;;83;
4;"Конституционное право Республики Беларусь : курс лекций / А.А. Подупейко ; М-во внутрен. дел Респ. Беларусь, Акад. МВД. – Минск : Акад. МВД Респ. Беларусь, 2008. – 255 с.";2008;;;87;
4;"Основы юридической психологии : курс лекций / А.А. Урбанович. – Минск : ФУАинформ, 2009. – 448 с.";2009;;;391;
4;"Управление органами внутренних дел : курс лекций / А.П. Леонов ;  М-во внутрен. дел Респ. Беларусь, Акад. МВД. – Минск : Акад. МВД Респ. Беларусь, 2007. – 323 с.";2007;;;1046;
4;"Управление органами внутренних дел : курс лекций: [для курсантов, обучающихся по специальности ""Правоведение""] : в 2 т. / А.П. Леонов ;  М-во внутрен. дел Респ. Беларусь, Акад. МВД. – 2-е изд., перераб. и доп. – Минск : Акад. МВД Респ. Беларусь, 2009. – Т. 1. – 219 с.; – Т. 2. – 239 с.";2009;;;1116;
4;"Раскрытие экономических преступлений : курс лекций / А.В. Башан, В.Н. Каленик ; М-во внутрен. дел Респ. Беларусь, Акад.МВД. – Минск : Акад.МВД Респ. Беларусь, 2009. – 104 с.";2009;;;1314;
4;"Экологическое право Республики Беларусь : курс лекций : [для курсантов Акад. МВД Респ. Беларусь] / А.Н. Сапогин ; М-во внутрен. дел Респ. Беларусь, Акад. МВД. – Минск : Акад. МВД Респ. Беларусь, 2007. – 267 с.";2007;;;1392;
4;"Хозяйственное право : курс лекций / А.Г. Сачек, В.С. Гальцов, В.Н. Радоман, А.В. Сальникова. – Минск : Тесей, 2008. – 344 с.";2008;;;1418;
4;"Экологическое право Республики Беларусь : Особенная часть : курс лекций / А.Н. Сапогин ; М-во внутрен. дел Респ. Беларусь, Акад. МВД. – Минск : Акад. МВД Респ. Беларусь, 2009. – 199 с.";2009;;;1451;
4;"Криминалистика. Методика расследования отдельных видов преступлений : конспект лекций / А.И. Костров, В.В. Печерский, Н.Г. Цыпарков ; Минский ин-т упр. – Минск : Издательство МИУ, 2009. – 355 с.";2009;;;1452;
4;"Делопроизводство и режим секретности : курс лекций / Н.М. Бобович ; М-во внутрен. дел Респ. Беларусь, Акад. МВД. – Минск : Акад. МВД Респ. Беларусь, 2008. – 85 с.";2008;;;1497;
4;"Организация изобретательской работы : курс лекций / Б.Л. Кулаковский, А.В. Кузнецов. – Минск : КИИ МЧС Республики Беларусь, 2008. – 80 с.";2008;;;1549;
4;"Общая теория государства и права : курс лекций [для студентов юридических вузов] / А.Ф. Вишневский. – 2-е изд., исправленное и дополненное. – Минск : Тесей, 2007. – 352 с.";2007;;;1611;
4;"Формальная логика для юристов : курс лекций / В.А. Галенок. – Минск : Тесей, 2008. – 400 с.";2008;;;1714;
4;"Гражданский процесс : курс лекций : в 2 т. / Т.М. Фицук (лекции 2.2; 2.3; 5; 6; 7; 8.2; 9; 10; 11; 12) ; С.С. Волчкова (лекция 13) ; Т.В. Лисичникова (лекции 1; 2.1; 3; 4; 8.1) ; С.М. Скобля (лекция 14) / Акад. М-ва внутрен. дел Респ. Беларусь. – Минск : Акад. МВД, 2010. – Т. 1. – 190 с.";2010;;;2015;
4;"Гражданский процесс : курс лекций : в 2 т. / Т.М. Фицук (лекция 17.1) ; С.С. Волчкова (лекции 15; 16; 17.2, 17.3; 20; 21; 26) ; Т.В. Лисичникова (лекция 25) ; Р.И. Филипчик (лекции 18; 19; 22; 23; 24) / Акад. М-ва внутрен. дел Респ. Беларусь. – Минск : Акад. МВД, 2010. – Т. 2. – 207 с.";2010;;;2016;
4;"Основы топографии в деятельности органов внутренних дел : курс лекций / А.В. Долидович, А.Н. Морозов ; М-во внутрен. дел Респ. Беларусь, Акад. МВД. – Минск : Акад. МВД Респ. Беларусь, 2008. – 122 с.";2008;;;2206;
4;"Правовая информатика : курс лекций / Н.А. Аникеева, Т.Г. Чудиловская ; М-во внутрен. дел Респ. Беларусь, Акад. МВД. – Минск : Акад. МВД Респ. Беларусь, 2006. – 145 с.";2006;;;2277;
4;"Юридическая статистика : конспект лекций / Н.М. Бобович ; М-во внутрен. дел Респ. Беларусь, Акад. МВД. – Минск : Акад. МВД Респ. Беларусь, 2006. – 60 с.";2006;;;2278;
4;"История исправительно-трудовых учреждений Беларуси : курс лекций / А.В. Шарков, В.Б. Шабанов, А.В. Вениосов [и др.]; М-во внутрен. дел Респ. Беларусь, Акад. МВД. – Минск : Акад. МВД Респ. Беларусь, 1999. – 223 с.";1999;;;2878;
4;"Правовое регулирование медико-социальной реабилитации хронических алкоголиков и наркоманов в Республике Беларусь : курс лекций / А.В. Шарков, В.Б. Шабанов, В.В. Трифонов, С.А. Кадушкин [и др.]. – Минск : Акад. МВД Респ. Беларусь, 2000. – 71 с.";2000;;;2879;
4;"Особенности предупреждения, выявления и пресечения правонарушений в органах и учреждениях уголовно-исполнительной системы : курс лекций. В 2 ч. / В.Б. Шабанов (лекции 16.1; 17.1;) ; С.В. Бородич (предусловие, лекции 3.1; 4.1; 4.2; 5.1; 6; 7.1; 10.2) ; А.А.Будкевич (лекции 3.2; 4.3; 5.2; 5.3; 7.3; 9.2; 10.3; 11.2; 12; 13; 15.3) ; Г.С. Соркин (лекции 8.4; 8.5; 8.6) ; под общ. ред. В.Б. Шабанова ; М-во внутр. дел. Респ. Беларусь, учреждение образования ""Акад. М-ва внутр. дел Респ. Беларусь"". – Минск : Акад. МВД, 2010. – Ч. 1. – 235 с.";2010;;;2894;
4;"Особенности предупреждения, выявления и пресечения правонарушений в органах и учреждениях уголовно-исполнительной системы : курс лекций. В 2 ч. / В.Б. Шабанов (лекции 1; 2; 7.2; 8.1; 8.3; 9.1; 10.1; 11.1; 14; 15.1) ; С.В. Бородич (предусловие, лекции 3.1; 4.1; 4.2; 5.1; 6; 7.1; 10.2) ; А.А.Будкевич (лекции 3.2; 4.3; 5.2; 5.3; 7.3; 9.2; 10.3; 11.2; 12; 13; 15.3) ; Г.С. Соркин (лекции 8.4; 8.5; 8.6) ; под общ. ред. В.Б. Шабанова ; М-во внутр. дел. Респ. Беларусь, учреждение образования ""Акад. М-ва внутр. дел Респ. Беларусь"". – Минск : Акад. МВД, 2010. – Ч. 2. – 227 с.";2010;;;2895;
4;"Педагогика высшей школы : курс лекций / И.А. Андарало ; М-во внутр. дел Респ. Беларусь, учреждение образования ""Акад. М-ва внутр. дел Респ. Беларусь"". – Минск : Акад. МВД, 2010. – 139 с.";2010;;;2899;
4;"Криминалистическое обеспечение предварительного расследования. Общая часть : курс лекций / А.П. Пацкевич ; М-во внутр. дел Респ. Беларусь, учреждение образования ""Акад. М-ва внутр. дел Респ. Беларусь"". – Минск : Акад. МВД, 2011. – 171 с.";2011;;;2902;1
