publication;author;department;isauthor;code
1833;71;4;1;291
1834;75;4;1;292
1835;77;4;1;293
1836;69;4;1;294
1837;76;4;1;295
1838;175;10;1;296
1839;51;3;1;297
1840;18;1;1;298
1841;257;16;1;299
1842;257;16;1;300
1843;257;16;1;301
1844;257;16;1;302
1845;257;16;1;303
1846;257;16;1;304
1847;257;16;1;305
1848;310;19;1;306
1849;301;19;1;307
1849;305;19;0;308
1849;51;3;0;309
1849;290;18;0;310
1849;292;18;0;311
1849;304;19;0;312
1849;293;18;0;313
1849;74;4;0;314
1849;297;18;0;315
1849;299;18;0;316
1850;61;3;1;317
1854;58;3;1;318
1855;58;3;1;319
314;269;17;0;320
314;271;17;0;321
314;278;17;0;322
1155;41;2;0;323
1856;29;2;1;324
1856;38;2;0;325
1857;29;2;1;326
1857;38;2;0;327
1858;179;10;1;328
1859;154;8;1;329
1860;278;17;1;330
1861;278;17;1;331
1862;266;17;0;332
1862;327;20;0;333
1862;269;17;0;334
1862;325;20;0;335
1862;272;17;0;336
1862;278;17;1;337
1863;184;11;0;338
1863;267;17;0;339
1863;265;17;0;340
1863;269;17;0;341
1863;278;17;1;342
1864;278;17;1;343
1865;278;17;1;344
1866;174;10;1;345
1867;310;19;1;346
1868;130;9;1;347
210;93;6;0;348
210;95;6;0;349
210;84;5;0;350
210;493;5;0;351
210;104;6;0;352
1869;222;13;1;353
1871;61;3;1;354
1870;61;3;1;355
1872;61;3;1;356
1873;289;18;1;357
1874;289;18;1;358
200;85;5;0;359
1875;74;4;1;360
1876;207;14;1;361
1877;29;2;1;362
1877;32;2;0;363
1877;41;2;0;364
1878;29;2;1;365
1878;32;2;0;366
1878;41;2;0;367
1879;207;14;1;368
1880;187;11;1;369
310;327;20;0;370
1063;327;20;1;371
1064;327;20;1;372
1034;327;20;1;373
1882;51;3;1;374
1883;327;20;1;375
1883;187;11;0;376
1884;327;20;1;377
1884;187;11;0;378
573;232;13;0;379
573;230;13;0;380
573;241;13;0;381
573;242;13;0;382
573;243;13;0;383
573;247;13;0;384
804;279;15;0;385
804;287;15;0;386
80;103;6;0;387
1885;195;12;1;388
1886;131;9;1;389
1881;311;19;1;390
1887;251;16;1;391
1888;182;10;1;392
1891;300;18;1;393
1892;300;18;1;394
1893;227;13;0;395
1894;17;1;1;396
1895;52;3;1;397
1896;292;18;1;398
1897;292;18;1;399
1660;288;15;0;400
1660;241;13;0;401
1254;227;13;0;402
1899;225;13;1;403
1900;246;13;1;404
1901;120;7;1;405
1908;329;20;1;406
1053;323;20;1;407
1050;302;19;0;408
1050;225;13;0;409
1050;234;13;0;410
1050;48;3;0;411
1050;184;11;0;412
1050;265;17;0;413
1050;5;1;0;414
1050;6;1;0;415
1050;52;3;1;416
1050;284;15;0;417
1050;11;1;0;418
1050;254;16;0;419
1050;241;13;0;420
1050;123;7;0;421
1050;13;1;0;422
1050;21;1;0;423
1050;23;1;0;424
1050;218;14;0;425
1050;105;7;0;426
1088;302;19;0;427
1088;225;13;0;428
1088;234;13;0;429
1088;48;3;0;430
1088;184;11;0;431
1088;265;17;0;432
1088;5;1;0;433
1088;6;1;1;434
1088;52;3;0;435
1088;284;15;0;436
1088;11;1;0;437
1088;254;16;0;438
1088;241;13;0;439
1088;123;7;0;440
1088;13;1;0;441
1088;19;1;0;442
1088;20;1;0;443
1088;21;1;0;444
1088;23;1;0;445
1088;218;14;0;446
1088;105;7;0;447
1216;227;13;0;448
1216;234;13;0;449
