kind;outputdata;year;unused1;unused2;code;halfyear
6;"Тесты контроля уровня знаний основных положений (институтов) общей части гражданского права : учеб.-метод. пособие [для студентов] / В.Н. Паращенко, С.С. Сокол, В.В. Паращенко; под общ. ред. В.Н. Паращенко ; БИП - Институт правоведения, каф. гражданского права и процесса. – Минск : БИП-С Плюс, 2007. – 67 с.";2007;;;10;
6;"Правовое обеспечение предпринимательской деятельности : (в вопросах и ответах): учеб.-метод. пособие / Н.И. Рудович ; Частн. ин-т упр. и предпринимат. – Минск : Частн. ин-т упр. и предпринимат., 2007. – 55 с.";2007;;;63;
6;"Квалификационная характеристика специалиста-выпускника специальность 1-24 01 02 «Правоведение», специализация 1-24 01 02 14 «Экспертно-криминалистическая деятельность» / разработчики : И.А. Анищенко, О.В. Маркова ; М-во внутрен. дел Респ. Беларусь, Акад. МВД. – Минск, 2009.";2009;;;77;
6;"Квалификационная характеристика специалиста-выпускника специальность 1-93 01 02 «Судебная экспертиза» / разработчики : И.А. Анищенко, О.В. Маркова ; М-во внутрен. дел Респ. Беларусь, Акад. МВД. – Минск, 2009";2009;;;78;
6;"Криминалистическая тактика (инновационные методы проведения практических занятий) : метод. рекоменд. / О. В. Маркова ; М-во внутрен. дел Респ. Беларусь, Акад. МВД. – Минск : Акад. МВД Респ. Беларусь, 2009. – 79 с.";2009;;;84;
6;"Криминалистическая методика : метод. разработки для преподавателей по подготовке и проведению практических занятий с курсантами 3-4 курсов очного обучения факультета следственно-экспертного (экспертов), уголовно-исполнительного / Г. В. Федоров ; М-во внутрен. дел Респ. Беларусь, Акад. МВД. – Минск:  Акад. МВД Респ. Беларусь, 2008. – 48 с.";2008;;;86;
6;"Методические рекомендации по изучению дисциплины «Криминалистика» для курсантов 3-4 курсов очного обучения следственно-экспертного (эксперты) и уголовно-исполнительного факультетов / Г.В. Федоров, В.Л. Григорович ; М-во внутрен. дел Респ. Беларусь, Акад. МВД. – Минск : Акад. МВД Респ. Беларусь, 2008. – 63 с.";2008;;;88;
6;"Методические рекомендации по изучению дисциплины «Криминалистика» для курсантов 3-4 курсов следственно-экспертного и уголовно-исполнительного факультетов (специальность 1-24 01 02 «Правоведение», 1-93 01 02 «Судебная экспертиза») факультетов / Г.В. Федоров, В.Л. Григорович ; М-во внутрен. дел Респ. Беларусь, Акад. МВД. – Минск : Акад. МВД Респ. Беларусь, 2009. – 91 с.";2009;;;89;
6;"Осмотр трупа на месте происшествия или обнаружения : метод. рекоменд. / Г.В. Мережко ; М-во внутрен. дел Респ. Беларусь, Акад. МВД. – Минск : Акад.МВД Респ. Беларусь, 2009. – 48 с.";2009;;;332;
6;"Психология следственной деятельности : метод. указания / В.В. Мицкевич, И.А. Кибак, А.А. Богданов ; М-во внутрен. дел Респ. Беларусь, Акад МВД. – Минск : Акад. МВД Респ. Беларусь, 2007. – 52 с.";2007;;;393;
6;"Уголовно-исполнительное право : метод. материалы для курсантов фак. милиции и следств.-эксперт. фак. / И.И. Куценков, Е.В. Котенко, И.М. Куприенко, В.И. Степаненко ; М-во внутрен. дел Респ. Беларусь; Акад. МВД. – Минск : Акад. МВД Респ. Беларусь, 2009. – 73 с.";2009;;;574;
6;"Методические рекомендации по производству дознания в таможенных органах Республики Беларусь / В.В. Мелешко, А.П. Павлович. – Минск : ГТК, 2008. – 118 с.";2008;;;644;
6;"Деятельность органов уголовного преследования Министерства внутренних дел в стадии возбуждения уголовного дела : метод. рекоменд. / И.В. Данько, В.М. Орловский, О.Г. Шевченко ; М-во внутрен. дел Респ. Беларусь, Акад. МВД. – Минск : Акад. МВД Респ. Беларусь, 2008. – 121 с.";2008;;;725;
6;"Уголовное право : уч. прогр. для специальности 1-24 01 02 «Правоведение» / С.В. Ананич  [и др.]. – Минск : Акад. МВД Респ. Беларусь, 2008. – 185 с.";2008;;;802;
6;"Уголовное право : уч. прогр. для специальности 1-93 01 02 «Судебная экспертиза» / С.В. Ананич  [и др.]. – Минск : Акад. МВД Респ. Беларусь, 2008. – 111 с.";2008;;;803;
6;"Криминология: научно-методологические основы : уч. прогр. по специальности 12.00.08 – уголовное право и криминология, уголовно-исполнительное право / В.А. Ананич, С.М. Свило, С.Ю. Часнок. – Минск : Акад. МВД Респ. Беларусь, 2010. – 46 с.";2010;;;804;
